"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,286,0,0,0,0,0
"300",0,0,23,0,0,0,0,0
"400",0,0,16,0,0,0,0,0
"500",0,0,2,10,0,0,0,0
"600",0,0,37,23,0,0,0,200
"700",0,0,69,78,0,0,1125,0
"800",0,0,162,132,0,0,0,0
"900",0,0,36,629,0,0,0,0
"1000",0,0,94,35,0,0,500,0
"1100",0,0,32,126,0,0,0,275
"1200",-1,0,0,276,0,-245,0,0
"1300",0,0,79,118,0,0,0,0
"1400",0,0,57,7,0,0,0,0
"1500",0,0,31,2,0,0,0,0
"1600",0,0,0,10,0,0,1375,0
"1700",-4,-12,0,0,-245,0,0,0
"1800",-2,-1,1,0,0,0,0,0
"1900",-16,-15,0,0,0,0,0,0
"2000",-2,-45,0,0,0,0,0,0
"2200",-126,-209,0,60,0,-275,0,0
"2500",-66,-410,0,0,0,0,0,0
"3000",-107,-68,0,0,0,0,0,0
"3500",-118,-23,0,0,-2000,0,0,0
"4000",0,-48,0,0,0,0,0,0
"4500",-25,-201,0,0,0,0,0,0
"5000",-87,-26,0,0,0,0,0,0
"5500",-45,-41,0,0,0,0,0,0
