"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",-1,0,0,0,0,-1,0,0
"300",0,0,50,25,0,0,0,0
"400",-1,-10,33,112,0,0,0,0
"500",0,0,908,521,0,0,0,0
"600",-20,-20,50,1081,0,0,0,0
"700",0,0,715,776,0,0,0,0
"800",0,0,2104,1281,0,0,0,0
"900",0,0,3105,1073,0,0,0,250
"1000",-10,0,6108,3544,0,0,1838,1000
"1100",0,-4,5476,5132,0,0,6800,4245
"1200",-2018,-149,14246,8658,0,0,17400,5918
"1300",-115,-445,8825,8771,-112,-415,18883,1082
"1400",-650,-1069,8608,10327,0,-125,1375,6400
"1500",-3597,-3530,8298,12822,-4151,-5250,6251,15750
"1600",-7046,-10355,6491,9100,-5432,-16870,5250,14320
"1700",-43209,-12441,5207,3802,-20298,-5850,4150,575
"1800",-48294,-13927,2840,1043,-28031,-22379,0,0
"1900",-7305,-8126,1071,357,-7750,-4125,0,500
"2000",-13462,-15590,16,2,-20083,-7250,0,0
"2100",-6822,-9613,0,20,-13689,-1418,0,0
"2200",-5475,-5796,32,3,-28725,-3900,0,0
"2300",-2687,-5847,0,0,-4125,-5375,0,0
"2400",-5715,-7088,1,0,-7500,-2281,0,0
"2500",-2585,-3312,2,30,-1600,-600,0,0
"2600",-3463,-5090,0,0,-6875,-4192,0,0
"2800",-1685,-2391,0,0,-57,0,0,0
"3000",-2791,-2793,0,28,-2250,-5777,0,0
"3200",-722,-2357,0,0,0,0,0,0
"3400",-436,-569,0,0,0,0,0,0
"3500",-676,-1039,0,0,0,-1500,0,0
"4000",-270,-1083,0,0,-250,0,0,0
"4500",-462,-1024,0,0,0,0,0,0
"5000",-838,-2523,2,1,-5145,0,0,0
"5500",-2461,-5331,0,0,0,-1235,0,0
"6000",-800,-3032,0,0,-1110,-1030,0,0
"6500",-1775,-1377,0,0,0,0,0,0
"7000",-1124,-567,0,0,-530,0,0,0
"8000",-3897,-1519,0,0,-350,0,0,0
"9000",-151,0,0,0,0,0,0,0
"10000",-1065,-236,0,0,-150,0,0,0
"20000",-35,-65,0,0,0,0,0,0
"25000",-79,0,0,0,0,0,0,0
"30000",-431,0,0,0,0,0,0,0
