"Strike","Calls Buy","Calls Sell","Puts Buy","Puts Sell","Call Buy Blocked","Call Sell Blocked","Put Buy Blocked","Put Sell Blocked"
"200",0,0,401,13,0,0,0,0
"300",0,0,266,2,0,0,0,0
"400",0,0,19,207,0,0,0,0
"500",0,0,260,111,0,0,0,0
"600",0,0,68,84,0,0,875,200
"700",0,0,221,1454,0,0,0,0
"800",0,0,275,281,0,0,0,0
"900",0,0,62,867,0,0,0,0
"1000",0,0,303,612,0,0,500,500
"1100",-3,-1,637,650,0,-250,0,800
"1200",-26,0,111,1003,-495,-495,0,1625
"1300",0,0,253,256,0,-875,0,514
"1400",-9,-6,1315,646,0,-650,0,0
"1500",0,0,106,84,0,0,0,0
"1600",-9,-12,223,62,-1259,-250,1000,250
"1700",-24,-24,2,1,-1145,-495,0,0
"1800",-173,-19,26,1,0,-250,0,0
"1900",-82,-19,0,0,0,0,0,0
"2000",-1166,-939,31,0,0,-7750,0,0
"2200",-2512,-1098,60,60,0,-275,0,0
"2500",-2763,-1568,0,0,-1000,-1500,0,0
"3000",-850,-2635,66,0,-19625,0,0,0
"3500",-408,-466,0,0,-3125,0,0,0
"4000",-477,-205,0,0,0,0,0,0
"4500",-392,-302,0,0,0,0,0,0
"5000",-299,-180,0,0,0,0,0,0
"5500",-3379,-1418,0,0,0,0,0,0
